"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.app.Activity: void setContentView(android.view.View)>","com.donutgames.dgkit.DGLayout{868ba56 V.E...... ......I. 0,0-0,0}"
"<android.content.ContextWrapper: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>","Intent { act=com.android.vending.billing.InAppBillingService.BIND }","com.donutgames.dgkit.DGKitActivity@bce25e2","1"
"<android.view.View: void setKeepScreenOn(boolean)>","false"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","272","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_MEDIA_SKIP_FORWARD, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=99821, downTime=99821, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","191","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BUTTON_4, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=101861, downTime=101861, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","23","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_CENTER, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=101861, downTime=101861, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102887, downTime=102887, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102887, downTime=102887, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102887, downTime=102887, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","19","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_UP, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102887, downTime=102887, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","22","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102901, downTime=102901, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","22","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102901, downTime=102901, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","22","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102901, downTime=102901, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","22","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102901, downTime=102901, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","21","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_LEFT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102914, downTime=102914, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","21","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_LEFT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102914, downTime=102914, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","21","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_LEFT, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102914, downTime=102914, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102946, downTime=102946, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102946, downTime=102946, deviceId=-1, source=0x101 }"
"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>","20","KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x400, repeatCount=0, eventTime=102946, downTime=102946, deviceId=-1, source=0x101 }"
