"<java.io.OutputStream: void write(byte[])>","[B@52204bd"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@c495439","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@ff86a7e"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837643"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@8abebdf","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@8b902c"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837645"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@f61faf5","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@5acb08a"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837633"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@d0d66fb","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@5378318"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837547"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@f245171","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@1ad4b56"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837552"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@badb8c4","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@2db93ad"
"<java.text.DateFormat: void setTimeZone(java.util.TimeZone)>","java.util.SimpleTimeZone[id=GMT+08:00,offset=28800000,dstSavings=3600000,useDaylight=false,startYear=0,startMode=0,startMonth=0,startDay=0,startDayOfWeek=0,startTime=0,startTimeMode=0,endMode=0,endMonth=0,endDay=0,endDayOfWeek=0,endTime=0,endTimeMode=0]"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","xuming"," msg recieved !"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","xuming","FeatureScrenn show = 1"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837657"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@fa95c5c","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@688b65"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837628"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@c1a503a","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@28204eb"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837557"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@79de248","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@4db78e1"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837621"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@f4d3606","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@8fa04c7"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837634"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@8d2daf4","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@d35c21d"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837635"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@76ac92","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@6082663"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837553"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@bcb260","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@4f16319"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837554"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@54effde","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@84cc5bf"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837555"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@daa948c","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@b2c17d5"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837556"
"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>","android.content.res.AssetManager$AssetInputStream@4c73bea","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@e11fedb"
