"<android.view.View: void setFocusable(boolean)>","1"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.app.Activity: void setContentView(android.view.View)>","org.haxe.nme.MainView{d386369 VFE...... ......I. 0,0-0,0}"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/firework_explode.ogg = 2130903068"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 29"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/firework_explode.ogg = 2130903068"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/fizz01.ogg = 2130903069"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 30"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/fizz01.ogg = 2130903069"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/flap.ogg = 2130903070"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 31"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/flap.ogg = 2130903070"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/foot1.ogg = 2130903071"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 32"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/foot1.ogg = 2130903071"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/foot2.ogg = 2130903072"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 33"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/foot2.ogg = 2130903072"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/frost.ogg = 2130903073"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Loaded index: 34"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get music handle ------assets/audio/frost.ogg = 2130903073"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","Sound","Get sound handle ------assets/audio/grog.ogg = 2130903076"
